Hs_hourly,T_hourly
0.5936800241470337,4.017199993133545
0.6023433407147726,4.077266693115234
0.6110066572825114,4.137333393096924
0.6196699738502502,4.197400093078613
0.6139299869537354,4.2310333251953125
0.6081900000572205,4.264666557312012
0.6024500131607056,4.298299789428711
0.6002633372942606,4.315633138020833
0.5980766614278158,4.332966486612956
0.5958899855613708,4.350299835205078
0.5939533313115438,4.3890665372212725
0.5920166770617167,4.427833239237468
0.5900800228118896,4.466599941253662
0.5902200142542521,4.455099900563558
0.5903600056966146,4.443599859873454
0.590499997138977,4.43209981918335
0.623169998327891,4.013699849446614
0.655839999516805,3.5952998797098794
0.688510000705719,3.1768999099731445
0.735123336315155,3.170433282852173
0.7817366719245911,3.163966655731201
0.8283500075340271,3.1575000286102295
0.9041033188501993,3.2854666709899902
0.9798566301663717,3.413433313369751
1.055609941482544,3.5413999557495117
1.140596628189087,3.727399984995524
1.2255833148956299,3.9134000142415366
1.3105700016021729,4.099400043487549
1.3872333367665608,4.273833433787028
1.463896671930949,4.448266824086507
1.540560007095337,4.622700214385986
1.5915266672770183,4.782900174458821
1.6424933274586995,4.943100134531657
1.6934599876403809,5.103300094604492
1.7191166480382283,5.202166716257731
1.744773308436076,5.30103333791097
1.7704299688339233,5.399899959564209
1.7742866277694702,5.479033311208089
1.778143286705017,5.55816666285197
1.781999945640564,5.63730001449585
1.7865999539693196,5.6187334060668945
1.7911999622980754,5.6001667976379395
1.795799970626831,5.581600189208984
1.8052366574605305,5.5158335367838545
1.8146733442942302,5.450066884358724
1.8241100311279297,5.384300231933594
1.8675033648808796,5.1102668444315595
1.9108966986338298,4.836233456929524
1.9542900323867798,4.56220006942749
1.943393349647522,4.606466770172119
1.9324966669082642,4.650733470916748
1.9215999841690063,4.695000171661377
1.9625366528828938,4.657700061798096
2.0034733215967813,4.6203999519348145
2.044409990310669,4.583099842071533
2.1315033435821533,4.571666558583577
2.2185966968536377,4.560233275095622
2.305690050125122,4.548799991607666
2.2412667274475098,4.615699927012126
2.1768434047698975,4.682599862416585
2.112420082092285,4.749499797821045
2.0992233753204346,4.706233183542888
2.086026668548584,4.6629665692647295
2.0728299617767334,4.619699954986572
2.036643306414286,4.691366672515869
2.0004566510518393,4.763033390045166
1.964269995689392,4.834700107574463
1.946660002072652,4.815600077311198
1.9290500084559123,4.796500047047933
1.9114400148391724,4.777400016784668
1.893743356068929,4.78843339284261
1.8760466972986858,4.799466768900554
1.8583500385284424,4.810500144958496
1.8762900431950886,4.701233386993408
1.894230047861735,4.59196662902832
1.9121700525283813,4.482699871063232
1.9341967105865479,4.483766555786133
1.9562233686447144,4.484833240509033
1.9782500267028809,4.485899925231934
1.9745966990788777,4.583333333333333
1.9709433714548747,4.680766741434733
1.9672900438308716,4.778200149536133
2.013700008392334,4.925966739654541
2.0601099729537964,5.073733329772949
2.106519937515259,5.221499919891357
2.160189946492513,5.291899998982747
2.213859955469767,5.362300078074138
2.2675299644470215,5.432700157165527
2.2290000120798745,5.78903341293335
2.190470059712728,6.145366668701172
2.151940107345581,6.501699924468994
2.100123405456543,6.578499952952067
2.048306703567505,6.65529998143514
1.9964900016784668,6.732100009918213
1.9347466627756755,6.712666670481364
1.873003323872884,6.693233331044515
1.8112599849700928,6.673799991607666
1.7576866547266643,6.610300064086914
1.7041133244832356,6.546800136566162
1.6505399942398071,6.48330020904541
1.6021166642506917,6.426733493804932
1.5536933342615764,6.370166778564453
1.505270004272461,6.313600063323975
1.4669100046157837,6.297800064086914
1.4285500049591064,6.2820000648498535
1.3901900053024292,6.266200065612793
1.3564166625340779,6.2587666511535645
1.3226433197657268,6.251333236694336
1.2888699769973755,6.243899822235107
1.285683314005534,5.79039986928304
1.2824966510136921,5.336899916330974
1.2793099880218506,4.883399963378906
1.276146650314331,5.369199911753337
1.2729833126068115,5.854999860127767
1.269819974899292,6.340799808502197
1.2870833079020183,6.874266465504964
1.3043466409047444,7.407733122507731
1.3216099739074707,7.941199779510498
1.3451299667358398,7.1670331954956055
1.368649959564209,6.392866611480713
1.3921699523925781,5.61870002746582
1.387239972750346,5.874300003051758
1.3823099931081135,6.129899978637695
1.3773800134658813,6.385499954223633
1.3585100173950195,6.351399898529053
1.3396400213241577,6.317299842834473
1.320770025253296,6.283199787139893
1.2930667002995808,6.228333155314128
1.265363375345866,6.173466523488362
1.2376600503921509,6.118599891662598
1.1910467147827148,6.098233222961426
1.1444333791732788,6.077866554260254
1.0978200435638428,6.057499885559082
1.04420002301534,5.727933247884114
0.9905800024668375,5.398366610209147
0.936959981918335,5.06879997253418
0.89860999584198,4.925066630045573
0.860260009765625,4.781333287556966
0.82191002368927,4.637599945068359
0.7935900092124939,4.594299952189128
0.7652699947357178,4.5509999593098955
0.7369499802589417,4.507699966430664
0.7101066509882609,4.6035332679748535
0.6832633217175802,4.699366569519043
0.6564199924468994,4.795199871063232
0.6445033351580302,4.560133298238118
0.632586677869161,4.325066725413005
0.6206700205802917,4.090000152587891
0.61680668592453,3.8284667332967124
0.6129433512687683,3.5669333140055337
0.6090800166130066,3.3053998947143555
0.6000633438428243,3.396399895350138
0.591046671072642,3.4873998959859214
0.5820299983024597,3.578399896621704
0.5706166625022888,3.6630666255950928
0.5592033267021179,3.7477333545684814
0.547789990901947,3.83240008354187
0.5566800038019816,3.653766711552938
0.5655700167020162,3.4751333395640054
0.5744600296020508,3.2964999675750732
0.5653666853904724,3.550800005594889
0.556273341178894,3.8051000436147056
0.5471799969673157,4.0594000816345215
0.538403332233429,4.370700041453044
0.5296266674995422,4.6820000012715655
