Zone,1,2,3,Total
t79,736.35718464,638.5450085929263,0.0,1374.9021932329263
t80,736.35718464,1100.5169243788764,0.0,1836.8741090188764
t81,405.59479758886334,505.8772464799979,0.0,911.4720440688612
t82,311.47908910272,505.8772464799979,0.0,817.356335582718
t83,311.47908910272,505.8772464799979,0.0,817.356335582718
t84,311.47908910272,505.8772464799979,0.0,817.356335582718
t85,311.47908910272,505.8772464799979,0.0,817.356335582718
t86,316.6335893952001,505.8772464799979,0.0,822.5108358751979
t87,736.35718464,505.8772464799979,0.0,1242.234431119998
t88,1125.5584559075037,1088.994057684307,503.59840272,2718.1509163118108
t89,1906.3731490321568,1626.4391598000002,559.2948480000001,4092.107156832157
t90,1906.312184041571,1626.4391598000002,559.2948480000001,4092.0461918415713
t91,1906.312184041571,1626.4391598000002,559.2948480000001,4092.0461918415713
t92,1906.312184041571,1626.4391598000002,559.2948480000001,4092.0461918415713
t93,1535.2285472215885,1626.4391598000002,559.2948480000001,3720.9625550215887
t94,1441.4040663748585,1626.4391598000002,530.9071788011497,3598.750404976008
t95,1328.354414337195,1626.4391598000002,249.0214412434812,3203.8150153806764
t96,767.4298850836332,1626.4391598000002,97.55841506132293,2491.4274599449564
t97,736.35718464,1552.5046463972585,44.999381342009634,2333.861212379268
t98,736.35718464,831.8704163130651,44.999381342009634,1613.2269822950748
t99,736.35718464,855.6448869431127,44.999381342009634,1637.0014529251225
t100,736.35718464,564.3743884506,44.999381342009634,1345.7309544326097
t101,736.35718464,845.6580087875868,44.999381342009634,1627.0145747695965
t102,736.35718464,1160.7672401936816,44.999381342009634,1942.1238061756912
t103,736.35718464,1498.9485071907943,110.292601328455,2345.5982931592494
t104,736.35718464,1626.4391598000002,110.292601328455,2473.0889457684552
t105,736.35718464,1297.2367202476564,110.292601328455,2143.8865062161112
t106,736.35718464,564.3743884506,44.999381342009634,1345.7309544326097
t107,316.6335893952001,564.3743884506,44.999381342009634,926.0073591878097
t108,311.47908910272,564.3743884506,44.999381342009634,920.8528588953297
t109,311.47908910272,564.3743884506,44.999381342009634,920.8528588953297
t110,311.47908910272,564.3743884506,44.999381342009634,920.8528588953297
t111,557.2487962034012,564.3743884506,44.999381342009634,1166.622565996011
t112,736.35718464,564.3743884506,44.999381342009634,1345.7309544326097
t113,736.35718464,860.6251089835378,44.999381342009634,1641.9816749655474
t114,921.2890809807545,1626.4391598000002,110.292601328455,2658.0208421092098
t115,1107.4891292984082,1626.4391598000002,44.999381342009634,2778.9276704404183
t116,1083.1157170732447,1626.4391598000002,106.93486741882151,2816.4897442920665
t117,911.8170020512218,1626.4391598000002,44.999381342009634,2583.2555431932315
t118,1083.1157170732447,1626.4391598000002,128.82788571837588,2838.382762591621
t119,1083.1157170732447,1626.4391598000002,124.99828150558231,2834.5531583788274
t120,1083.1157170732447,1626.4391598000002,124.99828150558231,2834.5531583788274
t121,1083.1157170732447,1549.3654256243283,124.99828150558231,2757.4794242031553
t122,911.8170020512218,1412.884212526236,124.99828150558231,2449.6994960830402
t123,1083.1157170732447,1381.1294967336953,124.99828150558231,2589.2434953125226
t124,1083.1157170732447,1303.1034110377498,124.99828150558231,2511.217409616577
t125,911.8170020512218,1261.0453407875975,124.99828150558231,2297.8606243444015
t126,1083.1157170732447,1295.4483402104781,124.99828150558231,2503.562338789305
t127,911.8170020512218,1331.4328930662166,124.99828150558231,2368.2481766230208
t128,970.6707290069097,1406.3987031294346,124.99828150558231,2502.0677136419267
t129,958.2826453972766,867.8171959673812,79.99890016357269,1906.0987415282304
t130,736.35718464,535.6734792549782,0.0,1272.0306638949783
t131,316.6335893952001,535.6734792549782,0.0,852.3070686501783
t132,311.47908910272,535.6734792549782,0.0,847.1525683576983
t133,311.47908910272,535.6734792549782,0.0,847.1525683576983
t134,316.6335893952001,535.6734792549782,0.0,852.3070686501783
t135,736.35718464,535.6734792549782,0.0,1272.0306638949783
t136,736.35718464,622.3475402619134,0.0,1358.7047249019133
t137,736.35718464,1243.8490346624017,0.0,1980.2062193024017
t138,736.35718464,1543.7276059221272,0.0,2280.084790562127
t139,736.35718464,1543.7276059221272,0.0,2280.084790562127
t140,736.35718464,1543.7276059221272,0.0,2280.084790562127
t141,736.35718464,1543.7276059221272,0.0,2280.084790562127
t142,736.35718464,1543.7276059221272,0.0,2280.084790562127
t143,736.35718464,1497.6420751669548,0.0,2233.999259806955
t144,736.35718464,1427.3283644922742,0.0,2163.685549132274
t145,736.35718464,1264.7411857256088,0.0,2001.0983703656088
t146,736.35718464,650.4758385013448,0.0,1386.8330231413447
t147,736.35718464,485.9804088331428,0.0,1222.3375934731428
t148,736.35718464,485.9804088331428,0.0,1222.3375934731428
t149,736.35718464,706.6955945805939,0.0,1443.052779220594
t150,736.35718464,837.1876427544863,0.0,1573.5448273944862
t151,736.35718464,1051.2858753260218,0.0,1787.6430599660218
t152,736.35718464,832.9274426571109,0.0,1569.284627297111
t153,731.20268434752,363.17386236911545,0.0,1094.3765467166354
t154,311.47908910272,363.17386236911545,0.0,674.6529514718354
t155,311.47908910272,363.17386236911545,0.0,674.6529514718354
t156,311.47908910272,363.17386236911545,0.0,674.6529514718354
t157,311.47908910272,363.17386236911545,0.0,674.6529514718354
t158,311.47908910272,363.17386236911545,0.0,674.6529514718354
t159,316.6335893952001,363.17386236911545,0.0,679.8074517643156
t160,736.35718464,363.17386236911545,0.0,1099.5310470091154
t161,736.35718464,1045.211895447354,0.0,1781.569080087354
t162,736.35718464,1279.7373311862616,0.0,2016.0945158262616
t163,736.35718464,1279.7373311862616,0.0,2016.0945158262616
t164,736.35718464,1279.7373311862616,0.0,2016.0945158262616
t165,736.35718464,1279.7373311862616,0.0,2016.0945158262616
t166,736.35718464,1279.7373311862616,0.0,2016.0945158262616
t167,736.35718464,1013.9667409995429,0.0,1750.323925639543
t168,736.35718464,908.9246984163842,0.0,1645.2818830563842
t169,736.35718464,420.70838338130983,0.0,1157.06556802131
t170,736.35718464,212.24262306116216,0.0,948.5998077011621
t171,736.35718464,0.0,0.0,736.35718464
t172,736.35718464,0.0,0.0,736.35718464
t173,736.35718464,0.0,0.0,736.35718464
t174,736.35718464,0.0,0.0,736.35718464
t175,736.35718464,0.0,0.0,736.35718464
t176,736.35718464,0.0,0.0,736.35718464
t177,316.6335893952001,0.0,0.0,316.6335893952001
t178,311.47908910272,0.0,0.0,311.47908910272
t179,311.47908910272,0.0,0.0,311.47908910272
t180,311.47908910272,0.0,0.0,311.47908910272
t181,311.47908910272,0.0,0.0,311.47908910272
t182,311.47908910272,0.0,0.0,311.47908910272
t183,311.47908910272,0.0,0.0,311.47908910272
t184,332.50450532768724,0.0,0.0,332.50450532768724
t185,736.35718464,535.8369220277327,0.0,1272.1941066677327
t186,736.35718464,1444.1836102270067,0.0,2180.5407948670068
t187,736.35718464,1512.9378113025202,0.0,2249.2949959425205
t188,736.35718464,1512.9378113025202,0.0,2249.2949959425205
t189,736.35718464,1512.9378113025202,0.0,2249.2949959425205
t190,736.35718464,1512.9378113025202,0.0,2249.2949959425205
t191,736.35718464,1512.9378113025202,0.0,2249.2949959425205
t192,736.35718464,1512.9378113025202,0.0,2249.2949959425205
t193,736.35718464,1387.6575073534666,0.0,2124.014691993467
t194,736.35718464,1277.807957955267,0.0,2014.165142595267
t195,736.35718464,1298.5024042146497,0.0,2034.8595888546497
t196,736.35718464,1304.535980764067,0.0,2040.893165404067
t197,736.35718464,1299.1787480097942,0.0,2035.5359326497942
t198,736.35718464,1238.2286037130104,0.0,1974.5857883530105
t199,736.35718464,1356.664156392223,0.0,2093.021341032223
t200,736.35718464,1438.1884630158622,0.0,2174.545647655862
t201,736.35718464,524.9894205219746,0.0,1261.3466051619746
t202,736.35718464,524.9894205219746,0.0,1261.3466051619746
