gen	time	cMinPowerThermal	cMaxPowerThermal	cRampUpThermal	cRampDownThermal
22	69	0.0	0.0	0.0	0.0
17	70	0.0	0.0	0.0	0.0
19	70	0.0	0.0	0.0	0.0
20	70	0.0	0.0	0.0	0.0
23	70	0.0	0.0	0.0	0.0
26	70	0.0	0.0	0.0	0.0
17	71	0.0	0.0	0.0	0.0
17	72	0.0	0.0	0.0	0.0
20	72	0.0	0.0	0.0	0.0
23	72	0.0	0.0	0.0	0.0
26	72	0.0	0.0	0.0	0.0
17	73	0.0	0.0	0.0	0.0
17	74	0.0	0.0	0.0	0.0
20	74	0.0	0.0	0.0	0.0
23	74	0.0	0.0	0.0	0.0
26	74	0.0	0.0	0.0	0.0
17	75	0.0	0.0	0.0	0.0
19	75	0.0	0.0	0.0	0.0
17	76	0.0	0.0	0.0	0.0
20	76	0.0	0.0	0.0	0.0
23	76	0.0	0.0	0.0	0.0
26	76	0.0	0.0	0.0	0.0
17	77	0.0	0.0	0.0	0.0
17	78	0.0	0.0	0.0	0.0
20	78	0.0	0.0	0.0	0.0
23	78	0.0	0.0	0.0	0.0
26	78	0.0	0.0	0.0	0.0
17	79	0.0	0.0	0.0	0.0
17	80	0.0	0.0	0.0	0.0
26	80	0.0	0.0	0.0	0.0
17	81	0.0	0.0	0.0	0.0
20	81	0.0	0.0	0.0	0.0
23	81	0.0	0.0	0.0	0.0
17	82	0.0	0.0	0.0	0.0
26	82	0.0	0.0	0.0	0.0
17	83	0.0	0.0	0.0	0.0
20	83	0.0	0.0	0.0	0.0
23	83	0.0	0.0	0.0	0.0
17	84	0.0	0.0	0.0	0.0
17	85	0.0	0.0	0.0	0.0
19	85	0.0	0.0	0.0	0.0
20	85	0.0	0.0	0.0	0.0
23	85	0.0	0.0	0.0	0.0
26	85	0.0	0.0	0.0	0.0
17	86	0.0	0.0	0.0	0.0
17	87	0.0	0.0	0.0	0.0
17	88	0.0	0.0	0.0	0.0
20	88	0.0	0.0	0.0	0.0
23	88	0.0	0.0	0.0	0.0
26	88	0.0	0.0	0.0	0.0
17	89	0.0	0.0	0.0	0.0
17	90	0.0	0.0	0.0	0.0
17	91	0.0	0.0	0.0	0.0
20	91	0.0	0.0	0.0	0.0
23	91	0.0	0.0	0.0	0.0
26	91	0.0	0.0	0.0	0.0
17	92	0.0	0.0	0.0	0.0
17	93	0.0	0.0	0.0	0.0
17	94	0.0	0.0	0.0	0.0
20	94	0.0	0.0	0.0	0.0
23	94	0.0	0.0	0.0	0.0
26	94	0.0	0.0	0.0	0.0
17	95	0.0	0.0	0.0	0.0
17	96	0.0	0.0	0.0	0.0
20	96	0.0	0.0	0.0	0.0
23	96	0.0	0.0	0.0	0.0
26	96	0.0	0.0	0.0	0.0
17	97	0.0	0.0	0.0	0.0
17	98	0.0	0.0	0.0	0.0
20	98	0.0	0.0	0.0	0.0
23	98	0.0	0.0	0.0	0.0
26	98	0.0	0.0	0.0	0.0
17	99	0.0	0.0	0.0	0.0
17	100	0.0	0.0	0.0	0.0
17	101	0.0	0.0	0.0	0.0
20	101	0.0	0.0	0.0	0.0
23	101	0.0	0.0	0.0	0.0
26	101	0.0	0.0	0.0	0.0
17	102	0.0	0.0	0.0	0.0
17	103	0.0	0.0	0.0	0.0
17	104	0.0	0.0	0.0	0.0
20	104	0.0	0.0	0.0	0.0
23	104	0.0	0.0	0.0	0.0
26	104	0.0	0.0	0.0	0.0
17	105	0.0	0.0	0.0	0.0
17	106	0.0	0.0	0.0	0.0
17	107	0.0	0.0	0.0	0.0
17	108	0.0	0.0	0.0	0.0
17	109	0.0	0.0	0.0	0.0
17	110	0.0	0.0	0.0	0.0
17	111	0.0	0.0	0.0	0.0
17	112	0.0	0.0	0.0	0.0
19	112	0.0	0.0	0.0	0.0
17	113	0.0	0.0	0.0	0.0
17	114	0.0	0.0	0.0	0.0
19	114	0.0	0.0	0.0	0.0
22	114	0.0	0.0	0.0	0.0
4	115	0.0	0.0	0.0	0.0
17	115	0.0	0.0	0.0	0.0
20	115	0.0	0.0	0.0	0.0
26	115	0.0	0.0	0.0	0.0
7	116	-0.0	0.0	0.0	0.0
10	116	0.0	0.0	0.0	0.0
15	116	0.0	0.0	0.0	0.0
17	116	0.0	0.0	0.0	0.0
10	119	0.0	0.0	0.0	0.0
20	119	0.0	0.0	0.0	0.0
26	119	0.0	0.0	0.0	0.0
4	120	0.0	0.0	0.0	0.0
17	120	0.0	0.0	0.0	0.0
19	120	0.0	0.0	0.0	0.0
22	120	0.0	0.0	0.0	0.0
17	121	0.0	0.0	0.0	0.0
25	121	0.0	0.0	0.0	0.0
17	122	0.0	0.0	0.0	0.0
20	122	0.0	0.0	0.0	0.0
23	122	0.0	0.0	0.0	0.0
26	122	0.0	0.0	0.0	0.0
17	123	0.0	0.0	0.0	0.0
17	124	0.0	0.0	0.0	0.0
23	124	0.0	0.0	0.0	0.0
25	124	0.0	0.0	0.0	0.0
26	124	0.0	0.0	0.0	0.0
17	125	0.0	0.0	0.0	0.0
20	125	0.0	0.0	0.0	0.0
17	126	0.0	0.0	0.0	0.0
25	126	0.0	0.0	0.0	0.0
17	127	0.0	0.0	0.0	0.0
17	128	0.0	0.0	0.0	0.0
19	128	0.0	0.0	0.0	0.0
25	128	0.0	0.0	0.0	0.0
17	129	0.0	0.0	0.0	0.0
17	130	0.0	0.0	0.0	0.0
19	130	0.0	0.0	0.0	0.0
25	130	0.0	0.0	0.0	0.0
17	131	0.0	0.0	0.0	0.0
17	132	0.0	0.0	0.0	0.0
19	132	0.0	0.0	0.0	0.0
25	132	0.0	0.0	0.0	0.0
17	133	0.0	0.0	0.0	0.0
17	134	0.0	0.0	0.0	0.0
19	134	0.0	0.0	0.0	0.0
25	134	0.0	0.0	0.0	0.0
17	135	0.0	0.0	0.0	0.0
13	136	0.0	0.0	0.0	0.0
17	136	0.0	0.0	0.0	0.0
22	136	0.0	0.0	0.0	0.0
25	136	0.0	0.0	0.0	0.0
17	137	0.0	0.0	0.0	0.0
17	138	0.0	0.0	0.0	0.0
22	138	0.0	0.0	0.0	0.0
27	138	0.0	0.0	0.0	0.0
17	139	0.0	0.0	0.0	0.0
25	139	0.0	0.0	0.0	0.0
17	140	0.0	0.0	0.0	0.0
19	140	0.0	0.0	0.0	0.0
22	140	0.0	0.0	0.0	0.0
27	140	0.0	0.0	0.0	0.0
17	141	0.0	0.0	0.0	0.0
25	141	0.0	0.0	0.0	0.0
17	142	0.0	0.0	0.0	0.0
19	142	0.0	0.0	0.0	0.0
17	143	0.0	0.0	0.0	0.0
17	144	0.0	0.0	0.0	0.0
19	144	0.0	0.0	0.0	0.0
22	144	0.0	0.0	0.0	0.0
13	145	0.0	0.0	0.0	0.0
17	145	0.0	0.0	0.0	0.0
8	146	0.0	0.0	0.0	0.0
17	146	0.0	0.0	0.0	0.0
8	147	0.0	0.0	0.0	0.0
17	147	0.0	0.0	0.0	0.0
19	147	0.0	0.0	0.0	0.0
22	147	0.0	0.0	0.0	0.0
8	148	0.0	0.0	0.0	0.0
13	148	0.0	0.0	0.0	0.0
17	148	0.0	0.0	0.0	0.0
17	149	0.0	0.0	0.0	0.0
21	149	0.0	0.0	0.0	0.0
22	149	0.0	0.0	0.0	0.0
23	149	0.0	0.0	0.0	0.0
