Zone,1,2,3
t1,31.793662285074777,30.724600000000002,-13.342516017486574
t2,31.793662285074777,30.724600000000002,-13.342516017486574
t3,31.793662285074777,30.724600000000002,-13.342516017486574
t4,31.793662285074777,30.724600000000002,-13.342516017486574
t5,31.793662285074777,30.724600000000002,-13.342516017486574
t6,31.793662285074777,30.724600000000002,-13.342516017486574
t7,31.793662285074777,30.724600000000002,30.577426062300948
t8,31.793662285074777,30.724600000000002,30.577426062300948
t9,-13.342516017486574,-13.342516017486574,-13.342516017486574
t10,-13.342516017486574,-13.342516017486574,-13.342516017486574
t11,-13.342516017486574,-13.342516017486574,-13.342516017486574
t12,-13.342516017486574,-13.342516017486574,-13.342516017486574
t13,-13.342516017486574,-13.342516017486574,-13.342516017486574
t14,-13.342516017486574,-13.342516017486574,-13.342516017486574
t15,-11.570065557200643,-11.570065557200643,-11.570065557200643
t16,26.409065557200638,25.52106040327648,27.459502636987295
t17,31.793662285074777,30.724600000000002,30.577426062300948
t18,66.05917386644963,63.83793333333333,63.5321431839665
t19,66.05917386644963,63.83793333333329,-13.342516017486574
t20,66.05917386644963,63.83793333333333,-13.342516017486574
t21,31.793662285074777,30.724600000000002,-13.342516017486574
t22,31.793662285074777,30.724600000000002,-13.342516017486574
t23,31.793662285074777,30.724600000000002,-13.342516017486574
t24,31.793662285074777,30.724600000000002,-13.342516017486574
t25,23.843847792665542,24.673494343188647,-13.342516017486574
t26,23.843847792665542,23.042098117600002,-13.342516017486574
t27,7.677661460982804,7.419499999999998,-13.342516017486574
t28,7.677661460982804,7.419499999999998,-13.342516017486574
t29,7.677661460982804,7.419499999999999,-13.342516017486574
t30,7.677661460982804,7.419499999999998,-13.342516017486574
t31,7.677661460982804,7.419499999999998,-13.342516017486574
t32,23.843847792665542,24.673494343188647,-13.342516017486574
t33,-13.342516017486574,-13.342516017486574,-13.342516017486574
t34,-13.342516017486574,-13.342516017486574,-13.342516017486574
t35,-13.342516017486574,-13.342516017486574,-13.342516017486574
t36,-13.342516017486574,-13.342516017486574,-13.342516017486574
t37,-13.342516017486574,-13.342516017486574,-13.342516017486574
t38,-13.342516017486574,-13.342516017486574,-13.342516017486574
t39,-13.342516017486574,-13.342516017486574,-13.342516017486574
t40,-13.342516017486574,-13.342516017486574,-13.342516017486574
t41,23.843847792665542,23.042098117600002,-13.342516017486574
t42,31.793662285074777,30.724600000000002,13.342516017486574
t43,31.793662285074777,30.724600000000002,-0.0
t44,134.59019702919932,130.0646,-13.342516017486574
t45,31.793662285074777,30.72459999999999,-13.342516017486574
t46,31.793662285074777,30.724600000000002,-13.342516017486574
t47,31.793662285074777,30.724600000000002,-13.342516017486574
t48,31.793662285074777,30.724600000000002,-13.342516017486574
t49,31.793662285074777,30.724600000000002,-13.342516017486574
t50,31.793662285074777,30.724600000000002,-13.342516017486574
t51,31.793662285074777,30.724600000000002,30.577426062300948
t52,31.793662285074777,30.724600000000002,30.577426062300948
t53,31.793662285074777,30.724600000000002,-13.342516017486574
t54,31.793662285074777,30.724600000000002,-13.342516017486574
t55,31.793662285074777,30.724600000000002,-13.342516017486574
t56,31.793662285074777,30.724600000000002,-13.342516017486574
t57,-0.0,-0.0,-13.342516017486574
t58,-13.342516017486574,-13.342516017486581,-13.342516017486574
t59,-13.342516017486574,-13.342516017486574,-13.342516017486574
t60,-13.342516017486574,-13.342516017486574,-13.342516017486574
t61,-13.342516017486574,-13.342516017486574,-13.342516017486574
t62,-13.342516017486574,-13.342516017486574,-13.342516017486574
t63,-13.342516017486574,-13.342516017486574,-13.342516017486574
t64,-13.342516017486574,-13.342516017486576,-13.342516017486574
t65,29.16209170962009,28.181516017486572,-13.342516017486574
t66,34.42523286052948,33.26768398251343,-13.342516017486574
t67,59.17529067370565,57.185520797547234,-13.342516017486574
t68,59.17529067370565,57.185520797547234,-13.342516017486574
