wec_cost,power_lim,diameter,omega_n,zeta,electrification,carbon_constraint,year,system_cost,carbon,system_capacity,wave_capacity,solar_capacity,onshore_wind_capacity,offshore_wind_capacity,battery_capacity,fossil_capacity,solar_costs,onshore_wind_costs,offshore_wind_costs,battery_costs,fossil_costs,fossil_energy,wave_energy
500.0,100.0,20.0,0.5,0.25,ref,med,2030,2889863123.9016747,12320130.36238881,49308.44525861088,0.0,14284.35075090142,7273.563212248348,0.0,482.153485397152,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.34267664,0.0
600.0,100.0,20.0,0.5,0.25,ref,med,2030,,,,,,,,,,,,,,,,
400.0,100.0,20.0,0.6,0.25,ref,med,2030,,,,,,,,,,,,,,,,
500.0,100.0,20.0,0.6,0.25,ref,med,2030,2889863123.901669,12320130.362388818,49308.44525861087,0.0,14284.350750901413,7273.563212248335,0.0,482.15348539713625,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.34267665,0.0
600.0,100.0,20.0,0.6,0.25,ref,med,2030,,,,,,,,,,,,,,,,
400.0,100.0,20.0,0.7,0.25,ref,med,2030,,,,,,,,,,,,,,,,
500.0,100.0,20.0,0.7,0.25,ref,med,2030,2889863123.901678,12320130.362388816,49308.44525861088,0.0,14284.350750901416,7273.563212248342,0.0,482.15348539714614,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676647,0.0
600.0,100.0,20.0,0.7,0.25,ref,med,2030,,,,,,,,,,,,,,,,
400.0,400.0,20.0,0.5,0.05,ref,med,2030,2828537364.2588167,11622842.41139165,45926.32888928136,4463.528928650246,9791.898335699554,4830.206572771072,0.0,0.0,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],19036150.361598372,15685546.4796753
500.0,400.0,20.0,0.5,0.05,ref,med,2030,2882528308.2486005,12083797.774821166,48488.00634603665,939.7770386656556,13236.444385686205,6681.215999377762,0.0,236.44354330682063,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20373068.449006837,3241770.064097551
600.0,400.0,20.0,0.5,0.05,ref,med,2030,2889863123.9016724,12320130.362388808,49308.44525861087,0.0,14284.350750901409,7273.563212248326,0.0,482.15348539712045,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.34267664,0.0
400.0,400.0,20.0,0.6,0.05,ref,med,2030,2210385319.3923616,6069097.257459285,32639.366223825044,9145.882213728482,2397.8625640858477,0.0,0.0,0.0,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],6776599.382663269,70707982.45475739
